datetime	CPU [%]	Memory [GB]
13:30:39 02/06/2021	1909.65	30.3802
13:30:57 02/06/2021	2136.75	30.2688
13:31:15 02/06/2021	1897.2	30.1455
13:31:33 02/06/2021	1832.45	29.927
13:31:51 02/06/2021	2009.65	29.6259
13:32:09 02/06/2021	1922.2	29.4502
13:32:27 02/06/2021	1999.6	29.6126
13:32:45 02/06/2021	2116.85	29.7707
13:33:03 02/06/2021	2054.45	29.9166
13:33:21 02/06/2021	2159.3	30.0309
13:33:39 02/06/2021	1957.15	30.0522
13:33:57 02/06/2021	2066.85	30.08
13:34:15 02/06/2021	2047.0	29.9501
13:34:33 02/06/2021	2086.95	29.904
13:34:51 02/06/2021	1759.95	29.9149
13:35:10 02/06/2021	1937.15	30.0791
13:35:28 02/06/2021	1949.55	30.3695
13:35:46 02/06/2021	2007.0	30.7088
13:36:04 02/06/2021	2049.5	31.1123
13:36:22 02/06/2021	1914.7	31.3679
13:36:40 02/06/2021	1774.8	31.5118
13:36:58 02/06/2021	1749.95	31.6957
13:37:16 02/06/2021	2037.0	31.8076
13:37:34 02/06/2021	1984.55	31.7869
13:37:52 02/06/2021	2049.55	31.6185
13:38:10 02/06/2021	2019.65	31.6534
13:38:28 02/06/2021	2109.45	31.7214
13:38:46 02/06/2021	1745.0	31.7323
13:39:04 02/06/2021	3055.45	32.4128
13:39:22 02/06/2021	1882.25	32.3946
13:39:40 02/06/2021	1710.0	32.3704
13:39:58 02/06/2021	1725.0	32.5422
13:40:16 02/06/2021	1770.0	32.7917
13:40:34 02/06/2021	1864.65	32.9522
13:40:52 02/06/2021	2066.95	32.9954
13:41:10 02/06/2021	1809.8	33.0973
13:41:29 02/06/2021	1762.4	33.3387
13:41:47 02/06/2021	1737.45	33.5979
13:42:05 02/06/2021	1769.95	33.5267
13:42:23 02/06/2021	1952.1	33.2974
13:42:41 02/06/2021	1817.35	33.255
13:42:59 02/06/2021	2234.15	33.3038
13:43:17 02/06/2021	2064.4	33.59
13:43:35 02/06/2021	2254.2	33.9541
13:43:53 02/06/2021	1977.1	34.2103
13:44:11 02/06/2021	1807.5	34.4455
13:44:29 02/06/2021	1789.85	34.6811
13:44:47 02/06/2021	1907.3	34.7225
13:45:05 02/06/2021	2034.55	34.7765
13:45:23 02/06/2021	1722.45	35.0109
13:45:41 02/06/2021	1817.35	35.2506
13:45:59 02/06/2021	2229.25	35.3215
13:46:17 02/06/2021	1892.2	35.397
13:46:35 02/06/2021	1545.25	29.3859
13:46:53 02/06/2021	2109.35	31.0015
13:47:11 02/06/2021	1922.2	31.5947
13:47:29 02/06/2021	1769.9	31.8699
13:47:47 02/06/2021	2022.0	32.2574
13:48:05 02/06/2021	1692.55	32.5543
13:48:23 02/06/2021	1774.9	32.7523
13:48:41 02/06/2021	1924.7	32.8755
13:48:59 02/06/2021	1879.7	32.9911
13:49:17 02/06/2021	1779.8	33.0691
13:49:35 02/06/2021	1959.55	33.0999
13:49:53 02/06/2021	1792.45	33.0541
13:50:12 02/06/2021	1772.45	33.0895
13:50:30 02/06/2021	2022.0	32.9585
13:50:48 02/06/2021	1799.75	32.8865
13:51:06 02/06/2021	2314.1	33.0413
13:51:24 02/06/2021	1959.8	33.2516
13:51:42 02/06/2021	1864.6	33.359
13:52:00 02/06/2021	1924.7	33.5173
13:52:18 02/06/2021	1959.5	33.8219
13:52:36 02/06/2021	1879.8	34.0237
13:52:54 02/06/2021	1932.05	32.3193
13:53:12 02/06/2021	1824.85	32.9518
13:53:30 02/06/2021	2109.4	33.4239
13:53:48 02/06/2021	1660.0	31.9983
13:54:06 02/06/2021	1977.15	32.2559
13:54:24 02/06/2021	1849.7	32.9798
13:54:42 02/06/2021	1792.4	33.3766
13:55:00 02/06/2021	2101.75	33.5416
13:55:18 02/06/2021	1952.2	33.7274
13:55:36 02/06/2021	1834.75	33.7937
13:55:54 02/06/2021	1712.5	33.8407
13:56:12 02/06/2021	1690.0	32.0412
13:56:30 02/06/2021	2101.8	33.1794
13:56:48 02/06/2021	1899.65	33.8915
13:57:06 02/06/2021	2024.55	34.3194
13:57:24 02/06/2021	1924.55	34.6787
13:57:42 02/06/2021	2001.95	34.9495
13:58:00 02/06/2021	1854.75	35.0875
13:58:18 02/06/2021	1857.35	35.2029
13:58:36 02/06/2021	1692.45	35.3286
13:58:54 02/06/2021	1939.75	35.5815
13:59:13 02/06/2021	1892.15	35.7411
13:59:31 02/06/2021	1700.0	35.586
